地块名称,地块类型,地块面积/亩,作物编号,作物名称,作物类型,种植季次
A1,平旱地,80,6,小麦,粮食,单季
A2,平旱地,55,7,玉米,粮食,单季
A3,平旱地,35,7,玉米,粮食,单季
A4,平旱地,72,1,黄豆,粮食（豆类）,单季
A5,平旱地,68,4,绿豆,粮食（豆类）,单季
A6,平旱地,55,8,谷子,粮食,单季
B1,梯田,60,6,小麦,粮食,单季
B2,梯田,46,2,黑豆,粮食（豆类）,单季
B3,梯田,40,3,红豆,粮食（豆类）,单季
B4,梯田,28,4,绿豆,粮食（豆类）,单季
B5,梯田,25,5,爬豆,粮食（豆类）,单季
B6,梯田,86,8,谷子,粮食,单季
B7,梯田,55,6,小麦,粮食,单季
B8,梯田,44,8,谷子,粮食,单季
B9,梯田,50,9,高粱,粮食,单季
B10,梯田,25,10,黍子,粮食,单季
B11,梯田,60,1,黄豆,粮食（豆类）,单季
B12,梯田,45,7,玉米,粮食,单季
B13,梯田,35,14,莜麦,粮食,单季
B14,梯田,20,15,大麦,粮食,单季
C1,山坡地,15,11,荞麦,粮食,单季
C2,山坡地,13,12,南瓜,粮食,单季
C3,山坡地,15,1,黄豆,粮食（豆类）,单季
C4,山坡地,18,13,红薯,粮食,单季
C5,山坡地,27,6,小麦,粮食,单季
C6,山坡地,20,3,红豆,粮食（豆类）,单季
D1,水浇地,15,20,土豆,蔬菜 ,第一季
D1,水浇地,15,36,白萝卜,蔬菜 ,第二季
D2,水浇地,10,28,小青菜,蔬菜 ,第一季
D2,水浇地,10,35,大白菜,蔬菜 ,第二季
D3,水浇地,14,21,西红柿,蔬菜 ,第一季
D3,水浇地,14,35,大白菜,蔬菜 ,第二季
D4,水浇地,6,22,茄子,蔬菜 ,第一季
D4,水浇地,6,35,大白菜,蔬菜 ,第二季
D5,水浇地,10,17,豇豆,蔬菜（豆类）,第一季
D5,水浇地,10,36,白萝卜,蔬菜 ,第二季
D6,水浇地,12,18,刀豆,蔬菜（豆类）,第一季
D6,水浇地,12,37,红萝卜,蔬菜 ,第二季
D7,水浇地,22,16,水稻,粮食,单季
D8,水浇地,20,16,水稻,粮食,单季
E1,普通大棚 ,0.6,18,刀豆,蔬菜（豆类）,第一季
E1,普通大棚 ,0.6,38,榆黄菇,食用菌,第二季
E2,普通大棚 ,0.6,24,青椒,蔬菜 ,第一季
E2,普通大棚 ,0.6,38,榆黄菇,食用菌,第二季
E3,普通大棚 ,0.6,25,菜花,蔬菜 ,第一季
E3,普通大棚 ,0.6,38,榆黄菇,食用菌,第二季
E4,普通大棚 ,0.6,26,包菜,蔬菜 ,第一季
E4,普通大棚 ,0.6,39,香菇,食用菌,第二季
E5,普通大棚 ,0.6,28,小青菜,蔬菜 ,第一季
E5,普通大棚 ,0.6,39,香菇,食用菌,第二季
E6,普通大棚 ,0.6,27,油麦菜,蔬菜 ,第一季
E6,普通大棚 ,0.6,39,香菇,食用菌,第二季
E7,普通大棚 ,0.6,19,芸豆,蔬菜（豆类）,第一季
E7,普通大棚 ,0.6,40,白灵菇,食用菌,第二季
E8,普通大棚 ,0.6,19,芸豆,蔬菜（豆类）,第一季
E8,普通大棚 ,0.6,40,白灵菇,食用菌,第二季
E9,普通大棚 ,0.6,18,刀豆,蔬菜（豆类）,第一季
E9,普通大棚 ,0.6,40,白灵菇,食用菌,第二季
E10,普通大棚 ,0.6,17,豇豆,蔬菜（豆类）,第一季
E10,普通大棚 ,0.6,41,羊肚菌,食用菌,第二季
E11,普通大棚 ,0.6,17,豇豆,蔬菜（豆类）,第一季
E11,普通大棚 ,0.6,41,羊肚菌,食用菌,第二季
E12,普通大棚 ,0.6,22,茄子,蔬菜 ,第一季
E12,普通大棚 ,0.6,41,羊肚菌,食用菌,第二季
E13,普通大棚 ,0.6,21,西红柿,蔬菜 ,第一季
E13,普通大棚 ,0.6,41,羊肚菌,食用菌,第二季
E14,普通大棚 ,0.6,29,黄瓜,蔬菜 ,第一季
E14,普通大棚 ,0.6,41,羊肚菌,食用菌,第二季
E15,普通大棚 ,0.6,30,生菜,蔬菜 ,第一季
E15,普通大棚 ,0.6,27,油麦菜,蔬菜 ,第一季
E15,普通大棚 ,0.6,41,羊肚菌,食用菌,第二季
E16,普通大棚 ,0.6,31,辣椒,蔬菜 ,第一季
E16,普通大棚 ,0.6,41,羊肚菌,食用菌,第二季
F1,智慧大棚,0.6,32,空心菜,蔬菜 ,第一季
F1,智慧大棚,0.6,33,黄心菜,蔬菜 ,第一季
F1,智慧大棚,0.6,24,青椒,蔬菜 ,第二季
F1,智慧大棚,0.6,21,西红柿,蔬菜 ,第二季
F2,智慧大棚,0.6,25,菜花,蔬菜 ,第一季
F2,智慧大棚,0.6,26,包菜,蔬菜 ,第一季
F2,智慧大棚,0.6,22,茄子,蔬菜 ,第二季
F2,智慧大棚,0.6,29,黄瓜,蔬菜 ,第二季
F3,智慧大棚,0.6,17,豇豆,蔬菜（豆类）,第一季
F3,智慧大棚,0.6,28,小青菜,蔬菜 ,第二季
F3,智慧大棚,0.6,30,生菜 ,蔬菜 ,第二季
F4,智慧大棚,0.6,19,芸豆,蔬菜（豆类）,第一季
F4,智慧大棚,0.6,34,芹菜,蔬菜 ,第二季
F4,智慧大棚,0.6,23,菠菜 ,蔬菜 ,第二季
